Origin (UTC),Present-day Country and link to Wikipedia article,Latitude,Longitude,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,K,
2001.5.23 21:10,China,27.619,100.901,2.1,5.4 MW,,2,2,2,2,,3,
2001.6.1 14:00,Afghanistan,35.105,69.324,44.5,5.0 MW,,4,4,4,4,,6,
2001.6.21 19:55,France,49.147,6.87,1,4.2 ML,,0,1,1,,,8,
2001.6.23 20:33,Peru (see 2001 southern Peru earthquake),-16.385,-73.505,33.7,8.4 MW,T,L,48,138,139,145,2,
2001.7.7 9:38,Peru,-17.532,-71.931,14.1,7.6 MW,L,1,1,1,,,2,
2001.7.17 15:06,Italy,46.723,11.234,5.7,4.7 MW,L,0,4,3,,,8,
2001.7.24 5:00,Chile,-19.558,-69.234,13.4,6.3 MW,,1,1,1,,,2,
2001.8.9 2:06,Peru,-14.348,-72.68,9.6,5.8 MW,,4,4,4,4,,2,
2001.10.27 5:35,China,26.289,100.586,5.8,5.5 MW,,1,1,1,1,,3,
2001.12.4 5:57,Peru,-15.353,-72.435,41.4,5.8 MW,,2,2,2,,,2,
2002.1.9 6:45,Tajikistan,38.644,69.844,28.6,5.2 MW,,3,3,3,3,,6,
2002.1.10 11:14,Papua New Guinea,-3.264,142.447,11,6.7 MW,,1,1,1,1,,7,
2002.1.21 4:39,Democratic Republic of the Congo,-1.77,28.996,11.6,5.1 MW,,,,,45,,8,
2002.1.21 14:34,Turkey,38.633,27.887,27.5,4.8 ML,,1,1,,,,8,
2002.1.22 4:53,Greece,35.624,26.645,88,6.2 MW,,0,1,,,,8,
2002.2.3 7:11,Turkey,38.527,31.227,5,6.5 MW,,44,44,44,42,,8,
2002.2.17 13:03,Iran,28.089,51.792,16.4,5.3 MW,,1,1,1,1,,1,
2002.3.3 12:08,Afghanistan (see 2002 Hindu Kush earthquakes),36.508,70.503,204,7.3 MW,L,16,166,166,150,,6,
2002.3.5 21:16,Philippines,6.028,124.218,31,7.5 MW,T,L,15,15,15,15,9,
2002.3.25 14:56,Afghanistan (see 2002 Hindu Kush earthquakes),36.051,69.21,10.5,6.1 MW,L,1000,1000,1000,1000,,6,
2002.3.27 8:52,Afghanistan,36.053,69.248,9.1,5.6 MW,L,,,,,,6,
2002.3.31 6:52,Taiwan,24.3,122.142,34,7.1 MW,T,L,5,5,5,4,0,
2002.4.1 6:14,Papua New Guinea,-6.231,147.545,81.4,5.3 MW,L,0,36,36,,,7,
2002.4.12 4:00,Afghanistan,35.988,69.296,7.8,5.8 MW,L,50,50,50,50,,6,
2002.4.22 4:57,Peru,-12.428,-76.578,64.9,4.4 mb,,0,1,,,,2,
2002.4.24 10:51,Serbia,42.42,21.533,8,5.7 MW,,1,1,1,1,,8,
2002.4.24 19:48,Iran,34.602,47.401,25,5.4 MW,,2,2,2,2,,1,
2002.4.25 17:41,Georgia,41.767,44.857,34.8,4.8 mb,L,5,5,5,6,,1,
2002.5.15 3:46,Taiwan,24.668,121.868,16.7,6.1 MW,L,1,1,1,,,0,
2002.5.18 15:15,Tanzania,-2.919,33.738,9.8,5.5 MW,,2,2,2,2,,8,
2002.6.22 2:58,Iran,35.597,49.02,11,6.5 MW,,261,261,227,227,,1,
2002.9.6 1:21,Italy,38.335,13.728,13,5.9 MW,,0,2,,,,8,
2002.9.8 18:44,Papua New Guinea,-3.262,142.94,13,7.6 MW,T,L,4,4,4,4,7,
2002.9.13 22:28,India,13.013,93.093,15,6.5 MW,T,2,2,2,2,,3,
2002.10.10 10:50,Indonesia,-1.7,134.23,16,7.5 MW,T,L,Lq,8,8,8,7,
2002.10.24 6:08,Democratic Republic of the Congo,-1.962,29.013,11,6.2 MW,,2,2,2,,,8,
2002.10.31 10:33,Italy (see 2002 Molise earthquake),41.738,14.852,5.7,5.7 MW,L,29,29,29,30,,8,
2002.11.1 22:09,Pakistan,35.393,74.627,27.5,5.3 MW,L,11,11,,17,,6,
2002.11.2 1:26,Indonesia,2.837,96.088,30,7.2 MW,,3,3,3,3,,9,
2002.11.3 7:33,Pakistan,35.348,74.595,15.7,5.3 MW,,,,,,,6,
2002.11.20 21:32,Pakistan,35.337,74.556,14.8,6.3 MW,L,19,19,19,19,,6,
2002.12.14 13:27,China,39.754,97.391,5,5.5 MW,,2,2,2,2,,3,
2003.1.21 2:46,Guatemala,13.623,-90.85,24,6.4 MW,,0,1,,,,5,
2003.1.22 2:06,Mexico (see 2003 Colima earthquake),18.9,-104.063,24,7.5 MW,T,L,29,29,,29,5,
2003.1.27 5:26,Turkey,39.503,39.851,16.1,6.0 MW,,1,1,1,1,,1,
2003.2.24 2:03,China (see 2003 Bachu earthquake),39.515,77.204,14,6.3 MW,,261,261,,268,,6,
2003.2.25 3:52,China (see 2003 Bachu earthquake),39.402,77.358,18.7,5.3 MW,,5,5,5,,,6,
2003.3.25 2:53,Indonesia,-8.339,120.606,34,6.4 MW,,0,4,4,,,9,
2003.3.29 11:46,Afghanistan,35.907,70.55,110,5.8 MW,,1,1,1,,,6,
2003.5.1 0:27,Turkey (see 2003 Bing__l earthquake),38.97,40.458,14,6.3 MW,L,177,177,,177,,1,
2003.5.4 15:44,China,39.305,77.142,10,5.8 MW,,0,1,,1,,6,
2003.5.21 18:44,Algeria (see 2003 Boumerd__s earthquake),36.88,3.694,12,6.8 MW,T,L,Lq,2266,2266,2266,8,
2003.5.22 18:11,Kazakhstan,42.954,72.763,35,5.5 MW,,,,,3,,6,
2003.5.26 19:23,Indonesia,2.349,128.879,31,6.9 MW,,1,1,1,1,,9,
2003.5.27 17:11,Algeria,36.865,3.592,8,5.7 MW,T,9,9,,9,,8,
2003.6.24 13:01,Iran,33.024,49.463,15,4.6 mb,L,1,1,1,,,1,
2003.7.10 17:06,Iran,28.311,54.165,8,5.7 MW,,1,1,1,1,,1,
2003.7.21 15:16,China,25.958,101.26,35,5.9 MW,L,16,16,16,16,,3,
2003.7.26 23:18,Bangladesh,22.868,92.317,35,5.6 MW,L,2,2,2,2,,3,
2003.7.27 7:32,Bangladesh,22.743,92.168,10,4.3 mb,,,,,,,3,
2003.7.27 12:07,Bangladesh,22.836,92.316,35,5.4 MW,,,,,,,3,
2003.8.16 10:58,China,43.779,119.718,23.3,5.4 MW,,4,4,4,4,,0,
2003.9.22 4:45,Dominican Republic,19.766,-70.693,14,6.4 MW,L,1,3,1,3,,2,
2003.9.25 19:50,Japan,41.864,143.878,27,8.3 MW,T,LF,0,0,,2,0,
2003.9.27 11:33,Russian Federation,50.031,87.817,12.3,7.3 MW,L,0,3,,3,,6,
2003.10.16 12:28,China,25.882,101.256,35,5.6 MW,,3,3,3,3,,3,
2003.10.25 12:41,China,38.386,100.978,12,5.8 MW,,9,9,9,9,,3,
2003.10.25 12:47,China,38.371,100.994,13.5,5.8 MW,,,,,,,3,
2003.11.13 2:35,China,34.713,103.865,35,5.1 MW,,1,1,1,1,,3,
2003.11.14 18:49,China,27.462,103.974,35,5.6 MW,,4,4,4,4,,3,
2003.11.18 17:14,Philippines,12.113,125.416,35,6.5 MW,L,1,1,1,,,9,
2003.12.1 1:38,Kazakhstan,42.885,80.546,17,6.0 MW,,11,11,11,11,,6,
2003.12.22 19:15,United States (see 2003 San Simeon earthquake),35.629,-121.075,16,6.6 MW,L,Lq,2,2,2,2,5,
2003.12.25 7:11,Panama,8.369,-82.842,34,6.5 MW,,2,2,2,2,,2,
2003.12.26 1:56,Iran (see 2003 Bam earthquake),28.95,58.268,6,6.6 MW,L,31000,31000,,26796,26271[11] 26000[12],1,
2004.1.1 20:59,Indonesia,-8.349,115.758,45.4,5.8 MW,,1,1,,1,,9,
2004.2.5 21:05,Indonesia,-3.661,135.597,23,7.0 MW,F,37,37,,37,,7,
2004.2.14 10:30,Pakistan,34.751,73.178,11,5.4 MW,L,10,24,,24,,6,
2004.2.14 11:56,Pakistan,34.772,73.169,11,5.3 MW,,,,,,,6,
2004.2.16 14:44,Indonesia,-0.516,100.548,12.7,5.0 MW,,5,5,,5,,9,
2004.2.24 2:14,Burundi,-3.36,29.446,15.7,4.7 mb,,3,3,,3,,8,
2004.2.24 2:27,Morocco (see 2004 Morocco earthquake),35.184,-3.985,8,6.3 MW,L,631,631,,628,,8,
2004.2.25 12:44,Morocco,35.225,-4.08,7.2,5.2 MW,,,,,,,8,
2004.2.26 12:07,Morocco,35.246,-4.178,18.3,4.9 MW,,,,,,,8,
2004.3.1 23:55,Turkey,38.058,38.277,5,3.8 MD,,6,6,,,,1,
2004.3.7 6:37,Morocco,35.174,-4.161,34.6,5.1 MW,,,,,,,8,
2004.3.25 19:30,Turkey,39.804,40.721,56.3,5.6 MW,,10,10,,9,,1,
2004.4.5 21:24,Afghanistan,36.48,71.042,175,6.5 MW,,3,3,,,,6,
2004.5.1 7:56,Taiwan,24.058,121.6,27.3,5.2 MW,L,0,2,,,,0,
2004.5.8 20:11,Pakistan,30.167,67.068,35,4.5 mb,,1,1,,,,6,
2004.5.28 12:38,Iran,36.257,51.565,26.7,6.3 MW,L,,35,,35,,1,
2004.7.1 22:30,Turkey,39.735,43.908,27.1,5.1 MW,,18,18,,18,,1,
2004.7.12 13:04,Slovenia,46.305,13.628,7.3,5.2 MW,L,0,1,,1,,8,
2004.7.18 4:22,New Zealand,-38.013,176.432,2.4,5.4 MW,L,1,1,,,,4,
2004.7.18 8:31,Afghanistan,33.344,69.479,5.7,5.2 MW,,2,2,,2,,6,
2004.7.30 7:14,Turkey,39.69,43.935,20,4.8 mb,,1,1,,,,1,
2004.8.10 10:26,China,27.318,103.917,13.2,5.3 MW,,4,4,,4,,3,
2004.8.11 15:48,Turkey,38.347,39.232,4.5,5.6 MW,,1,1,,,,1,
2004.9.7 11:53,Argentina,-28.568,-65.85,13,6.1 MW,,1,1,,,,2,
2004.9.15 8:35,Indonesia,-8.784,115.325,96.7,5.3 MW,,1,1,,,,9,
2004.10.23 8:56,Japan (see 2004 Chuetsu earthquake),37.23,138.801,16,6.6 MW,L,F,40,40,,40,0,0
2004.11.11 21:26,Indonesia,-8.166,124.764,13,7.5 MW,L,34,34,,33,,9,
2004.11.20 8:07,Costa Rica,9.623,-84.165,16,6.4 MW,L,8,8,,8,,5,
2004.11.21 11:41,Guadeloupe,15.679,-61.724,14,6.3 MW,,1,1,,1,,2,
2004.11.26 2:25,Indonesia,-3.615,135.45,24,7.1 MW,F,32,32,,32,,7,
2004.12.1 23:17,Indonesia,-3.689,135.604,7.2,5.5 MW,,1,1,,,,7,
2004.12.26 0:58,Indonesia (see 2004 Indian Ocean earthquake),3.287,95.972,30,9.3 MW,T,L,,297200,,,9,9
2005.1.23 20:10,Indonesia,-1.196,119.91,38.1,6.2 MW,,1,1,,1,,9,
2005.1.25 16:44,Turkey,37.603,43.691,40.6,5.9 MW,,2,2,,,,1,
2005.2.2 5:55,Indonesia,-7.004,107.816,57.2,4.8 mb,,1,1,,,,9,
2005.2.5 12:23,Philippines,5.321,123.338,522.1,7.1 MW,,2,2,,,,9,
2005.2.22 2:25,Iran (see 2005 Zarand earthquake),30.691,56.794,7,6.4 MW,,612,612,,612,,1,
2005.3.9 10:15,South Africa,-26.889,26.775,13,5.0 mb,,2,2,,2,,8,
2005.3.20 1:53,Japan (see 2005 Fukuoka earthquake),33.802,130.209,10.7,6.6 MW,L,1,1,,1,,0,
2005.3.28 16:09,Indonesia (see 2005 Sumatra Earthquake),2.069,97.097,22,8.6 MW,T,1303,1313,,915,,9,
2005.5.3 7:21,Iran,33.655,48.669,27.1,4.9 MW,,4,4,,,,1,
2005.6.4 14:50,Papua New Guinea,-6.355,146.846,44,6.1 MW,,1,1,,1,,7,
2005.6.13 22:44,Chile,-20.007,-69.198,105.2,7.8 MW,L,5,11,,11,,2,
2005.7.5 16:53,South Africa,-26.468,27.435,5,2.7 ML,,0,1,,,,8,
2005.7.25 15:43,China,46.884,125.03,43.3,5.0 MW,,1,1,,,,0,
2005.9.26 1:55,Peru (see 2005 northern Peru earthquake),-5.721,-76.414,120.9,7.5 MW,,5,5,,5,,2,
2005.10.8 3:50,Pakistan (see 2005 Kashmir earthquake),34.465,73.584,23.1,7.6 MW,L,Lq,87351,87351,,73338,6,6
2005.10.15 4:24,Pakistan,33.977,73.929,11.6,5.2 mb,,2,2,,,,6,
2005.10.20 21:40,Turkey,38.158,26.753,7.7,5.8 MW,,0,1,,,,8,
2005.10.27 11:18,China,23.604,107.798,10,4.2 mb,,1,1,,,,3,
2005.11.8 7:54,Vietnam,9.973,108.226,14.7,5.3 MW,,1,1,,,,9,
2005.11.26 0:49,China (see 2005 Ruichang earthquake),29.714,115.663,10.5,5.2 MW,,16,16,,,,0,
2005.11.27 10:22,Iran, 2005 Qeshm earthquake,26.786,55.833,18.4,5.9 MW,,13,13,,13,1,1
2005.12.5 12:19,Tanzania (see 2005 Lake Tanganyika earthquake),-6.246,29.789,20,6.8 MW,,6,6,,6,,8,
2005.12.12 21:47,Afghanistan (see December 2005 Afghan-Pakistan earthquake),36.285,71.12,223.8,6.5 MW,,5,5,,5,,6,
2005.12.14 7:09,India,30.46,79.201,35.5,5.1 MW,L,1,1,,,,6,
2006.2.14 0:55,India,27.382,88.388,30,5.3 MW,L,0,2,,,,3,
2006.2.22 22:19,Mozambique,-21.324,33.583,11,7.0 MW,,4,4,,,,8,
2006.3.10 7:50,Pakistan,33.129,73.887,10,4.9 MW,,1,1,,,,6,
2006.3.14 6:57,Indonesia,-3.595,127.214,30,6.7 MW,T,L,0,4,,4,9,9
2006.3.20 19:44,Algeria,36.623,5.328,10,5.2 MW,,4,4,,4,,8,
2006.3.25 7:28,Iran,27.574,55.685,18,5.9 MW,,1,1,,,,1,
2006.3.31 1:17,Iran (see 2006 Borujerd earthquake),33.5,48.78,7,6.1 MW,,70,70,,63,,1,
2006.4.25 11:26,Australia,-41.164,146.863,4,2.2 ML,,0,1,,,,4,
2006.5.26 22:53,Indonesia (see May 2006 Java earthquake),-7.961,110.446,12,6.4 MW,,5749,5749,,,,9,
2006.6.3 7:15,Iran,26.759,55.843,12,5.1 MW,,2,2,,,,1,
2006.7.17 8:19,Indonesia (see July 2006 Java earthquake),-9.254,107.411,34,7.7 MW,T,0,730,,,,9,
2006.7.22 1:10,China (see 2006 Yanjin earthquake),27.995,104.138,55,4.9 MW,L,0,22,,22,,3,
2006.7.29 0:11,Tajikistan (see 2006 Tajikistan earthquake),37.255,68.828,34,5.6 MW,,3,3,,3,,6,
2006.8.25 5:51,China,28.012,104.151,21,5.0 MW,L,1,1,,,,3,
2006.9.29 18:23,Venezuela,10.814,-61.758,52,5.5 MW,,1,1,,,,2,
2006.12.1 14:01,Indonesia,-8.251,118.777,43,6.3 MW,,0,1,,,,9,
2006.12.17 21:39,Indonesia,0.626,99.859,30,5.8 MW,L,7,7,,,,9,
2006.12.26 12:26,Taiwan (see 2006 Hengchun earthquake),21.799,120.547,10,7.0 MW,,2,2,,,,0,
2007.1.21 11:27,Indonesia,1.065,126.282,22,7.5 MW,,3,4,,,,9,
2007.3.6 3:49,Indonesia (see March 2007 Sumatra earthquakes),-0.48,100.47,19.3,6.4 MW,,67,67,,67,,9,
2007.3.25 0:41,Japan (see 2007 Noto earthquake),37.34,136.54,8,6.7 MW,T,1,1,,1,,0,
2007.4.1 20:39,Solomon Islands (see 2007 Solomon Islands earthquake,-8.43,157.06,10,8.1 MW,T,L,0,54,,,7,7
2007.4.21 17:53,Chile (see 2007 Ais__n Fjord earthquake),-45.24,-72.67,36.7,6.2 MW,T,L,0,10,,10,2,2
2007.6.2 21:34,China,23.02,101.01,5,6.1 MW,L,3,3,,3,,3,
2007.7.16 1:13,Japan (see 2007 Chuetsu offshore earthquake),37.52,138.46,12,6.6 MW,T,L,9,9,,9,0,0
2007.7.21 22:44,Tajikistan,38.936,70.485,10,5.2 MW,L,3,12,,11,,6,
2007.8.2 2:37,Russian Federation,47.11,141.81,5,6.2 MW,T,2,2,,2,,0,
2007.8.15 23:40,Peru (see 2007 Peru earthquake),-13.38,-76.61,39,8.0 MW,L,514,514,,519,,2,
2007.9.12 11:10,Indonesia,-4.44,101.37,34,8.5 MW,T,25,25,,,,9,
2007.9.12 23:49,Indonesia,-2.66,100.83,37.3,7.9 MW,,,,,,,9,
2007.9.13 3:35,Indonesia,-2.15,99.61,27,7.1 MW,,,,,,,9,
2007.10.26 6:50,Pakistan,35.304,76.753,10,5.2 MW,L,1,1,,,,6,
2007.11.6 9:38,India,21.181,70.724,10,5.1 MW,,1,1,,,,6,
2007.11.7 4:12,Philippines,9.721,124.647,71,5.3 MW,,1,1,,,,9,
2007.11.14 15:40,Chile,-22.247,-69.89,40,7.7 MW,T,2,2,,,,2,
2007.11.25 16:02,Indonesia,-8.292,118.37,20,6.5 MW,,3,3,,,,9,
2007.11.29 19:00,Martinique,14.944,-61.274,156,7.4 MW,,1,1,,,,2,
2007.12.9 2:03,Brazil,-15.048,-44.231,10,4.9 mb,,1,1,,,,2,
2007.12.20 7:55,New Zealand (see 2007 Gisborne earthquake),-39.011,178.291,20,6.6 MW,,0,1,,,,4,
2008.1.9 22:24,Algeria,35.616,-0.57,10,4.6 Mb,,1,1,,,,8,
2008.1.22 17:14,Indonesia,1.011,97.442,20,6.2 MW,,1,1,,,,9,
2008.2.3 7:34,Democratic Republic of the Congo (see 2008 Lake Kivu earthquake),-2.296,28.9,10,5.9 MW,,44,44,,43,,8,
2008.2.6 6:09,India,23.433,87.111,10,4.3 mb,,1,1,,,,3,
2008.2.14 2:07,Rwanda,-2.404,28.918,10,5.3 MW,,1,1,,,,8,
2008.2.20 8:08,Indonesia,2.768,95.964,26,7.3 MW,,3,3,,3,,9,
2008.5.12 6:28,China (see 2008 Sichuan earthquake),31.002,103.322,19,7.9 MW,L,69195,88287,,87476,,3,
2008.5.24 19:20,Colombia,4.33,-73.764,8,5.9 MW,L,0,6,,,,2,
2008.5.25 8:21,China,32.56,105.423,18,6.1 MW,L,8,8,,,,3,
2008.6.6 20:02,Algeria,35.883,-0.658,4,5.5 MW,,0,1,,,,8,
2008.6.8 12:25,Greece (see 2008 Peloponnese earthquake),37.963,21.525,16,6.4 MW,,2,2,,2,,8,
2008.6.13 23:43,Japan (see 2008 Iwate-Miyagi Nairiku earthquake),39.03,140.881,7,6.9 MW,L,13,13,,13,,0,
2008.6.17 5:51,China,32.761,105.554,10,4.8 mb,,2,2,,,,3,
2008.7.15 3:26,Greece (see 2008 Dodecanese earthquake),35.983,27.785,68,6.4 MW,,,,,,,8,
2008.8.21 12:24,China (see 2008 Yingjiang earthquakes),25.1,97.9,,5.9 MS,,,,,,,3,
2008.8.30 8:30,China (see 2008 Panzhihua earthquake),26,101.9,10,5.7 MW,,,,,,41,3,
2008.10.5 15:52,Kyrgyzstan (see 2008 Kyrgyzstan earthquake),39.515,73.768,27.6,6.9 MW,,,,,,60[16],6,
2008.10.6 16:30,China (see 2008 Damxung earthquake),,,,6.4 MW,,,,,,,0,
2008.10.28 23:09,Pakistan (see 2008 Pakistan earthquake),,,,6.4 MW,,,,,,215,0,
2009.1.8 19:21,Costa Rica (see 2009 Costa Rica earthquake),10.3962,-84.0281,48,6.1 MW,L,,,,,34,5,
2009.4.6 3:32,Italy (see 2009 L'Aquila earthquake),42.334,13.334,8.8,6.2 MW,,,,,,295,8,
2009.7.9 11:19,China (see 2009 Yunnan earthquake),,,,5.7 MW,,,,,,,0,
2009.8.10 20:07,Japan (see 2009 Shizuoka earthquake),,,,6.4 MW,,,,,,1,0,
2009.9.2 7:55,Indonesia (see 2009 West Java earthquake),,,,7.0 MW,,,,,,79,0,
2009.9.29 17:48,Samoa (see 2009 Samoa earthquake),,,8.1,8.1 MW,,,,,,189,0,
2009.9.30 10:16,Indonesia (see 2009 Sumatra earthquakes),,,,7.6 MW,,,,,,1,0,0
2010.1.12 17:00,Haiti (see 2010 Haiti earthquake),18.457,-72.533,13,7.0 MW,,,,,,222,2,2
2010.2.27 6:34,Chile (see 2010 Chile earthquake),-35.846,-72.719,35,8.8 MW [18],T,,,,,521[19],2,
2010.3.8 2:32,Turkey (see 2010 El__z____ earthquake),,,,6.1 MW,,,,,,42,0,
2010.3.11 14:39,Chile (see 2010 Pichilemu earthquake),,,,6.9 MW,L,,,,,1,0,
2010.4.14 23:49,China (see 2010 Yushu earthquake),,,,6.9 MW,L,,,,,2,0,0
2011.2.21 23:51,New Zealand (see February 2011 Christchurch earthquake),,,,6.3 MW,Lq,,,,,181,0,
2011.3.10 4:58,China (see 2011 Yunnan earthquake),,,,5.4 MW,,,,,,,0,
2011.3.11 14:46,Japan (see 2011 T__hoku earthquake),38.322,142.369,24.4,9.0 MW,T,,,,,10,0,0
2011.3.24 20:25,Myanmar (see 2011 Burma earthquake),,,,6.8 MW,,,,,,150+,0,
2011.4.7 14:32,Japan (see April 2011 Miyagi earthquake),38.2,140,66,7.1 MW,,,,,,,0,
2011.9.18 12:40,India (see 2011 Sikkim earthquake),27.723,88.064,19.7,6.9 MW,L,,,,,111+,3,
2011.9.23 10:41,Turkey (see 2011 Van earthquake),38.6,43.5,7.2,7.1 MW,,,,,,601 (as of October 30,1,1
,,,,,,,,,,,,,
